name,rating,price,capacity,price/gb,type,cache,form factor,interface,link
Silicon Power UD90 4 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$204.80,4 TB,$0.041,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0C1BSZXR6?tag=bgfg-pc-builder-us-20
Silicon Power P34A60 512 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.8,$33.49,512 GB,$0.065,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/dp/B07ZGJYLNL?tag=bgfg-pc-builder-us-20
Crucial T700 1 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,5.0,$159.99,1 TB,$0.160,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X4,https://www.amazon.com/dp/B0C3K1QBSG?tag=bgfg-pc-builder-us-20
"Toshiba MK3276GSX 320 GB 2.5"" 5400 RPM Internal Hard Drive",1.6,$13.90,320 GB,$0.043,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,https://www.amazon.com/dp/B004UGUVU4?tag=bgfg-pc-builder-us-20
"Seagate BarraCuda 1 TB 3.5"" 7200 RPM Internal Hard Drive",4.6,$44.10,1 TB,$0.044,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B01LNJBA2I?tag=bgfg-pc-builder-us-20
Crucial T705 2 TB M.2-2280 PCIe 5.0 X4 NVME Solid State Drive,,$399.99,2 TB,$0.200,SSD,N/A,M.2-2280,M.2 PCIe 5.0 X4,https://www.amazon.com/s?k=Crucial+T705+2+TB+M.2-2280+PCIe+5.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Kingston A400 240 GB 2.5"" Solid State Drive",4.6,$19.98,240 GB,$0.083,SSD,N/A,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B01N5IB20Q?tag=bgfg-pc-builder-us-20
Crucial T500 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$107.99,2 TB,$0.060,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0CK2TC9XQ?tag=bgfg-pc-builder-us-20
"Western Digital Blue 2 TB 3.5"" 7200 RPM Internal Hard Drive",4.8,$49.87,2 TB,$0.025,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B08VH8R94B?tag=bgfg-pc-builder-us-20
Samsung 990 Pro w/Heatsink 4 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,,4 TB,N/A,SSD,4096 MB,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=Samsung+990+Pro+w%2FHeatsink+4+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
Patriot P300 256 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.8,$20.99,256 GB,$0.082,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/dp/B082BWY2C2?tag=bgfg-pc-builder-us-20
Lexar NM790 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,4.0,$175.00,2 TB,$0.087,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0C4ZLXGQ8?tag=bgfg-pc-builder-us-20
Samsung 990 Pro w/Heatsink 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$309.99,2 TB,$0.155,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/s?k=Samsung+990+Pro+w%2FHeatsink+2+TB+M.2-2280+PCIe+4.0+X4+NVME+Solid+State+Drive&tag=bgfg-pc-builder-us-20
"Western Digital Gold 24 TB 3.5"" 7200 RPM Internal Hard Drive",,$682.69,24 TB,$0.026,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B0CNT1RNZ8?tag=bgfg-pc-builder-us-20
Klevv CRAS C910 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$99.99,2 TB,$0.050,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0D3HDJDNM?tag=bgfg-pc-builder-us-20
Acer Predator GM7000 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$219.99,2 TB,$0.110,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B09F5W62N8?tag=bgfg-pc-builder-us-20
"Crucial MX500 1 TB 2.5"" Solid State Drive",4.9,$75.98,1 TB,$0.076,SSD,1024 MB,"2.5""",SATA 6.0 Gb/s,https://www.amazon.com/dp/B078211KBB?tag=bgfg-pc-builder-us-20
TEAMGROUP MP44Q 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,,$71.98,1 TB,$0.072,SSD,N/A,M.2-2280,M.2 PCIe 4.0 X4,https://www.amazon.com/dp/B0CZN1RT44?tag=bgfg-pc-builder-us-20
TEAMGROUP MP33 512 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.9,$33.49,512 GB,$0.065,SSD,N/A,M.2-2280,M.2 PCIe 3.0 X4,https://www.amazon.com/dp/B07XJ2P1LK?tag=bgfg-pc-builder-us-20
