name,rating,price,type,efficiency rating,wattage,modular,link
Thermaltake Toughpower GF A3 Snow 850 W 80+ Gold Certified Fully Modular ATX Power Supply,,$134.38,ATX,80+ Gold,850 W,Full,https://www.amazon.com/dp/B0CKS5GYH2?tag=bgfg-pc-builder-us-20
EVGA 500 GD 600 W 80+ Gold Certified ATX Power Supply,4.6,$74.99,ATX,80+ Gold,600 W,No,https://www.amazon.com/dp/B07W5WZCTR?tag=bgfg-pc-builder-us-20
Topower GAPS-500MX 500 W Fully Modular ATX Power Supply,,,ATX,N/A,500 W,Full,https://www.amazon.com/s?k=Topower+GAPS-500MX+500+W+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Topower TOP-500PM 500 W ATX Power Supply,,,ATX,N/A,500 W,No,https://www.amazon.com/s?k=Topower+TOP-500PM+500+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Thermaltake Toughpower Grand 1050 W 80+ Gold Certified Fully Modular ATX Power Supply,,,ATX,80+ Gold,1050 W,Full,https://www.amazon.com/s?k=Thermaltake+Toughpower+Grand+1050+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Fractal Design Tesla R2 650 W 80+ Gold Certified ATX Power Supply,,,ATX,80+ Gold,650 W,No,https://www.amazon.com/s?k=Fractal+Design+Tesla+R2+650+W+80%2B+Gold+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
BitFenix Fury 650 W 80+ Gold Certified Semi-modular ATX Power Supply,4.0,,ATX,80+ Gold,650 W,Semi,https://www.amazon.com/s?k=BitFenix+Fury+650+W+80%2B+Gold+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Mistel MX650 FANLESS 650 W 80+ Platinum Certified Fully Modular Fanless ATX Power Supply,,,ATX,80+ Platinum,650 W,Full,https://www.amazon.com/s?k=Mistel+MX650+FANLESS+650+W+80%2B+Platinum+Certified+Fully+Modular+Fanless+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
HEC Zephyr 700 CM 700 W 80+ Certified Semi-modular ATX Power Supply,,,ATX,80+,700 W,Semi,https://www.amazon.com/s?k=HEC+Zephyr+700+CM+700+W+80%2B+Certified+Semi-modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Sentey ERP-600-SM 600 W Fully Modular ATX Power Supply,,,ATX,N/A,600 W,Full,https://www.amazon.com/s?k=Sentey+ERP-600-SM+600+W+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Sentey SDP750-SS 750 W 80+ Certified ATX Power Supply,,,ATX,80+,750 W,No,https://www.amazon.com/s?k=Sentey+SDP750-SS+750+W+80%2B+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Sentey GSP750-SM 750 W 80+ Gold Certified Fully Modular ATX Power Supply,,,ATX,80+ Gold,750 W,Full,https://www.amazon.com/s?k=Sentey+GSP750-SM+750+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Sentey GSP1000-SM 1000 W 80+ Gold Certified Fully Modular ATX Power Supply,5.0,,ATX,80+ Gold,1000 W,Full,https://www.amazon.com/s?k=Sentey+GSP1000-SM+1000+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Sentey ERP-400-SS 400 W ATX Power Supply,,,ATX,N/A,400 W,No,https://www.amazon.com/s?k=Sentey+ERP-400-SS+400+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Linkworld LPG8 630w 630 W ATX Power Supply,,,ATX,N/A,630 W,No,https://www.amazon.com/s?k=Linkworld+LPG8+630w+630+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Cougar COUGAR-RS450 450 W 80+ Certified ATX Power Supply,,,ATX,80+,450 W,No,https://www.amazon.com/s?k=Cougar+COUGAR-RS450+450+W+80%2B+Certified+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Thortech Thunderbolt 1000 W 80+ Gold Certified Fully Modular ATX Power Supply,,,ATX,80+ Gold,1000 W,Full,https://www.amazon.com/s?k=Thortech+Thunderbolt+1000+W+80%2B+Gold+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Cougar COUGAR-SX850 850 W 80+ Silver Certified Fully Modular ATX Power Supply,,,ATX,80+ Silver,850 W,Full,https://www.amazon.com/s?k=Cougar+COUGAR-SX850+850+W+80%2B+Silver+Certified+Fully+Modular+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
Apevia AD 500 W ATX Power Supply,,,ATX,N/A,500 W,No,https://www.amazon.com/s?k=Apevia+AD+500+W+ATX+Power+Supply&tag=bgfg-pc-builder-us-20
