name,rating,price,cores,core_clock,boost_clock,tdp,link
Intel Core i7-13700F 2.1 GHz 16-Core Processor,,$369.99,16,2.1,5.2,65,https://www.amazon.com/dp/B0BQ6CSY9C?tag=bgfg-pc-builder-us-20
Intel Core i7-4790K 4 GHz Quad-Core Processor,4.9,,4,4.0,4.4,88,https://www.amazon.com/s?k=Intel+Core+i7-4790K+4+GHz+Quad-Core+Processor&tag=bgfg-pc-builder-us-20
Intel Core i7-12700F 2.1 GHz 12-Core Processor,4.8,$312.99,12,2.1,4.9,65,https://www.amazon.com/dp/B09NPJDPVG?tag=bgfg-pc-builder-us-20
Intel Pentium E2220 2.4 GHz Dual-Core Processor,,$34.99,2,2.4,N/A,65,https://www.amazon.com/dp/B0015563NW?tag=bgfg-pc-builder-us-20
Intel Celeron G470 2 GHz Single-Core OEM/Tray Processor,,,1,2.0,N/A,35,https://www.amazon.com/s?k=Intel+Celeron+G470+2+GHz+Single-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
AMD FX-4320 4 GHz Quad-Core OEM/Tray Processor,,,4,4.0,4.2,95,https://www.amazon.com/s?k=AMD+FX-4320+4+GHz+Quad-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
AMD FX-6130 3.6 GHz 6-Core OEM/Tray Processor,,,6,3.6,3.9,125,https://www.amazon.com/s?k=AMD+FX-6130+3.6+GHz+6-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
AMD Athlon II X4 638 2.7 GHz Quad-Core Processor,,,4,2.7,N/A,65,https://www.amazon.com/s?k=AMD+Athlon+II+X4+638+2.7+GHz+Quad-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Athlon II X4 638 2.7 GHz Quad-Core OEM/Tray Processor,,,4,2.7,N/A,65,https://www.amazon.com/s?k=AMD+Athlon+II+X4+638+2.7+GHz+Quad-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
AMD FX-8310 3.4 GHz 8-Core OEM/Tray Processor,,,8,3.4,4.3,95,https://www.amazon.com/s?k=AMD+FX-8310+3.4+GHz+8-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
Intel Pentium G3470 3.6 GHz Dual-Core OEM/Tray Processor,,,2,3.6,N/A,53,https://www.amazon.com/s?k=Intel+Pentium+G3470+3.6+GHz+Dual-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
AMD A6-7470K 3.7 GHz Dual-Core OEM/Tray Processor,,,2,3.7,4.0,65,https://www.amazon.com/s?k=AMD+A6-7470K+3.7+GHz+Dual-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
AMD Athlon X4 940 3.2 GHz Quad-Core Processor,,,4,3.2,3.6,65,https://www.amazon.com/s?k=AMD+Athlon+X4+940+3.2+GHz+Quad-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Ryzen 9 9900X3D 4.4 GHz 12-Core Processor,,,12,4.4,N/A,120,https://www.amazon.com/s?k=AMD+Ryzen+9+9900X3D+4.4+GHz+12-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Ryzen 9 9950X3D 4.3 GHz 16-Core Processor,,,16,4.3,N/A,170,https://www.amazon.com/s?k=AMD+Ryzen+9+9950X3D+4.3+GHz+16-Core+Processor&tag=bgfg-pc-builder-us-20
Intel Atom D2500 1.867 GHz Dual-Core OEM/Tray Processor,,,2,1.867,N/A,10,https://www.amazon.com/s?k=Intel+Atom+D2500+1.867+GHz+Dual-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
Intel Core i5-3360M 2.8 GHz Dual-Core Processor,,$594.15,2,2.8,3.5,35,https://www.amazon.com/dp/B0089MTN0Y?tag=bgfg-pc-builder-us-20
AMD E-Series E-450 1.65 GHz Dual-Core OEM/Tray Processor,,,2,1.65,N/A,18,https://www.amazon.com/s?k=AMD+E-Series+E-450+1.65+GHz+Dual-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
AMD Opteron 4386 3.1 GHz 8-Core OEM/Tray Processor,,,8,3.1,3.8,95,https://www.amazon.com/s?k=AMD+Opteron+4386+3.1+GHz+8-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
Intel Core i3-350M 2.267 GHz Dual-Core OEM/Tray Processor,,,2,2.267,N/A,35,https://www.amazon.com/s?k=Intel+Core+i3-350M+2.267+GHz+Dual-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
Intel Celeron 847 1.1 GHz Dual-Core OEM/Tray Processor,,,2,1.1,N/A,17,https://www.amazon.com/s?k=Intel+Celeron+847+1.1+GHz+Dual-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
Intel Atom D2700 2.133 GHz Dual-Core OEM/Tray Processor,,$100.00,2,2.133,N/A,10,https://www.amazon.com/dp/B00JVVMV92?tag=bgfg-pc-builder-us-20
AMD Opteron 4386 3.1 GHz 8-Core Processor,,,8,3.1,3.8,95,https://www.amazon.com/s?k=AMD+Opteron+4386+3.1+GHz+8-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Athlon II X2 221 2.8 GHz Dual-Core OEM/Tray Processor,,,2,2.8,N/A,65,https://www.amazon.com/s?k=AMD+Athlon+II+X2+221+2.8+GHz+Dual-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
AMD Athlon II X4 651 3 GHz Quad-Core Processor,4.0,,4,3.0,N/A,100,https://www.amazon.com/s?k=AMD+Athlon+II+X4+651+3+GHz+Quad-Core+Processor&tag=bgfg-pc-builder-us-20
AMD Athlon II X4 651 3 GHz Quad-Core OEM/Tray Processor,,,4,3.0,N/A,100,https://www.amazon.com/s?k=AMD+Athlon+II+X4+651+3+GHz+Quad-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
AMD E2-3200 2.4 GHz Dual-Core OEM/Tray Processor,,,2,2.4,N/A,65,https://www.amazon.com/s?k=AMD+E2-3200+2.4+GHz+Dual-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
AMD Athlon X2 370K 4.2 GHz Dual-Core OEM/Tray Processor,,,2,4.2,N/A,65,https://www.amazon.com/s?k=AMD+Athlon+X2+370K+4.2+GHz+Dual-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
Intel Core i3-4360T 3.2 GHz Dual-Core OEM/Tray Processor,,,2,3.2,N/A,35,https://www.amazon.com/s?k=Intel+Core+i3-4360T+3.2+GHz+Dual-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
Intel Core i3-4370 3.8 GHz Dual-Core OEM/Tray Processor,,,2,3.8,N/A,54,https://www.amazon.com/s?k=Intel+Core+i3-4370+3.8+GHz+Dual-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
Intel Xeon E3-1230 V3 3.3 GHz Quad-Core OEM/Tray Processor,,,4,3.3,3.7,80,https://www.amazon.com/s?k=Intel+Xeon+E3-1230+V3+3.3+GHz+Quad-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
AMD Pro A6-7400B 3.5 GHz Dual-Core OEM/Tray Processor,,,2,3.5,3.9,65,https://www.amazon.com/s?k=AMD+Pro+A6-7400B+3.5+GHz+Dual-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
AMD Pro A4-7300B 3.8 GHz Dual-Core OEM/Tray Processor,,,2,3.8,4.0,65,https://www.amazon.com/s?k=AMD+Pro+A4-7300B+3.8+GHz+Dual-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
AMD Athlon X2 450 3.5 GHz Dual-Core OEM/Tray Processor,,,2,3.5,3.9,65,https://www.amazon.com/s?k=AMD+Athlon+X2+450+3.5+GHz+Dual-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
AMD Phenom II X4 B99 3.3 GHz Quad-Core OEM/Tray Processor,,,4,3.3,N/A,95,https://www.amazon.com/s?k=AMD+Phenom+II+X4+B99+3.3+GHz+Quad-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
Intel Pentium G3250 3.2 GHz Dual-Core OEM/Tray Processor,,,2,3.2,N/A,53,https://www.amazon.com/s?k=Intel+Pentium+G3250+3.2+GHz+Dual-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
Intel Pentium G3250T 2.8 GHz Dual-Core OEM/Tray Processor,,,2,2.8,N/A,35,https://www.amazon.com/s?k=Intel+Pentium+G3250T+2.8+GHz+Dual-Core+OEM%2FTray+Processor&tag=bgfg-pc-builder-us-20
