name,rating,price,socket/cpu,form factor,memory max,memory slots,link
Asus X99-DELUXE II ATX LGA2011-3 Motherboard,4.3,,LGA2011-3,ATX,128 GB,8,https://www.amazon.com/s?k=Asus+X99-DELUXE+II+ATX+LGA2011-3+Motherboard&tag=bgfg-pc-builder-us-20
MSI MPG B650I EDGE WIFI Mini ITX AM5 Motherboard,,$239.99,AM5,Mini ITX,64 GB,2,https://www.amazon.com/s?k=MSI+MPG+B650I+EDGE+WIFI+Mini+ITX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
ASRock B650M-H/M.2+ Micro ATX AM5 Motherboard,,,AM5,Micro ATX,96 GB,2,https://www.amazon.com/s?k=ASRock+B650M-H%2FM.2%2B+Micro+ATX+AM5+Motherboard&tag=bgfg-pc-builder-us-20
Asus TUF GAMING X570-PLUS (WI-FI) ATX AM4 Motherboard,4.7,$202.96,AM4,ATX,128 GB,4,https://www.amazon.com/dp/B07SXF8GY3?tag=bgfg-pc-builder-us-20
MSI MAG B660M BAZOOKA DDR4 Micro ATX LGA1700 Motherboard,,$129.99,LGA1700,Micro ATX,128 GB,4,https://www.amazon.com/dp/B09NTPPSBP?tag=bgfg-pc-builder-us-20
MSI MAG Z690 TORPEDO ATX LGA1700 Motherboard,,$365.99,LGA1700,ATX,128 GB,4,https://www.amazon.com/dp/B09HK9Q3KD?tag=bgfg-pc-builder-us-20
MSI MEG Z490 UNIFY ATX LGA1200 Motherboard,5.0,,LGA1200,ATX,128 GB,4,https://www.amazon.com/s?k=MSI+MEG+Z490+UNIFY+ATX+LGA1200+Motherboard&tag=bgfg-pc-builder-us-20
NZXT N7 Z390 ATX LGA1151 Motherboard,5.0,,LGA1151,ATX,64 GB,4,https://www.amazon.com/s?k=NZXT+N7+Z390+ATX+LGA1151+Motherboard&tag=bgfg-pc-builder-us-20
MSI Z270 GAMING M5 ATX LGA1151 Motherboard,4.6,,LGA1151,ATX,64 GB,4,https://www.amazon.com/s?k=MSI+Z270+GAMING+M5+ATX+LGA1151+Motherboard&tag=bgfg-pc-builder-us-20
Asus ROG STRIX B660-A GAMING WIFI ATX LGA1700 Motherboard,,,LGA1700,ATX,128 GB,4,https://www.amazon.com/s?k=Asus+ROG+STRIX+B660-A+GAMING+WIFI+ATX+LGA1700+Motherboard&tag=bgfg-pc-builder-us-20
