name,rating,price,fan rpm,noise level,color,link
Thermalright AXP90-X47 42.58 CFM CPU Cooler,,$32.90,2700 RPM,22.4 dB,Black,https://www.amazon.com/dp/B097DTKLRC?tag=bgfg-pc-builder-us-20
NZXT Kraken Elite RGB (2024) 75.12 CFM Liquid CPU Cooler,,,500 - 2400 RPM,30 dB,White,https://www.amazon.com/s?k=NZXT+Kraken+Elite+RGB+%282024%29+75.12+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Corsair iCUE H170i ELITE LCD XT 89 CFM Liquid CPU Cooler,,$309.99,500 - 1700 RPM,5 - 33.8 dB,Black,https://www.amazon.com/s?k=Corsair+iCUE+H170i+ELITE+LCD+XT+89+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
Noctua NH-L9A-AM5 33.84 CFM CPU Cooler,,$44.95,600 - 2500 RPM,14.8 - 23.6 dB,Brown / Silver,https://www.amazon.com/dp/B0BNL8ZM1T?tag=bgfg-pc-builder-us-20
Lian Li Galahad II LCD SL-INF 79.9 CFM Liquid CPU Cooler,4.0,$369.94,N/A,29 dB,Black,https://www.amazon.com/dp/B0CLB6FPX1?tag=bgfg-pc-builder-us-20
Deepcool AK400 66.47 CFM CPU Cooler,5.0,$34.99,500 - 1850 RPM,29 dB,Black / Silver,https://www.amazon.com/dp/B09PCWK7SP?tag=bgfg-pc-builder-us-20
Thermalright Frozen Prism ARGB 70.4 CFM Liquid CPU Cooler,5.0,$60.59,1850 RPM,27 dB,Black,https://www.amazon.com/dp/B0BWJS56BF?tag=bgfg-pc-builder-us-20
be quiet! Dark Rock Pro 4 50.5 CFM CPU Cooler,4.8,$89.90,1500 RPM,12.8 - 24.3 dB,Black,https://www.amazon.com/dp/B07BY6F8D9?tag=bgfg-pc-builder-us-20
Noctua NH-D15 G2 91.58 CFM CPU Cooler,,$149.94,1500 RPM,24.8 dB,Brown / Silver,https://www.amazon.com/dp/B0D5B6MXJF?tag=bgfg-pc-builder-us-20
ID-COOLING SE-903-XT 45.8 CFM CPU Cooler,,,500 - 2200 RPM,25.8 dB,Black,https://www.amazon.com/s?k=ID-COOLING+SE-903-XT+45.8+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Thermalright Peerless Assassin 140 77.8 CFM CPU Cooler,5.0,,1500 RPM,25.6 dB,White,https://www.amazon.com/s?k=Thermalright+Peerless+Assassin+140+77.8+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Cooler Master Hyper 212 Halo 51.88 CFM CPU Cooler,,$43.99,650 - 2050 RPM,27 dB,Black,https://www.amazon.com/dp/B0BRBWL38D?tag=bgfg-pc-builder-us-20
Montech HyperFlow ARGB 360 76.2 CFM Liquid CPU Cooler,,$95.90,2200 RPM,29.1 dB,Black,https://www.amazon.com/dp/B0D4PDPKX5?tag=bgfg-pc-builder-us-20
ARCTIC Liquid Freezer III A-RGB 69.9 CFM Liquid CPU Cooler,,$115.49,200 - 1900 RPM,N/A,Black,https://www.amazon.com/dp/B09VGXVFJX?tag=bgfg-pc-builder-us-20
Noctua NH-L12S 55.44 CFM CPU Cooler,4.9,$59.95,450 - 1850 RPM,16.8 - 23.9 dB,N/A,https://www.amazon.com/dp/B075SF5QQ8?tag=bgfg-pc-builder-us-20
ARCTIC Freezer 36 CPU Cooler,,$25.40,200 - 1800 RPM,N/A,Black / Silver,https://www.amazon.com/dp/B09VG6NBSJ?tag=bgfg-pc-builder-us-20
Lian Li Galahad II LCD SL-INF 79.9 CFM Liquid CPU Cooler,,$375.50,N/A,29 dB,White,https://www.amazon.com/dp/B0CLB79N6Y?tag=bgfg-pc-builder-us-20
Deepcool AG400 75.89 CFM CPU Cooler,,,500 - 2000 RPM,31.6 dB,Black,https://www.amazon.com/s?k=Deepcool+AG400+75.89+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Noctua NH-D15S chromax.black 82.51 CFM CPU Cooler,4.9,$99.95,300 - 1500 RPM,19.2 - 24.6 dB,Black,https://www.amazon.com/dp/B08HM1T6RL?tag=bgfg-pc-builder-us-20
Vetroo V5 52 CFM CPU Cooler,4.7,$34.99,800 - 1700 RPM,30.8 dB,Black,https://www.amazon.com/dp/B08F21X2VP?tag=bgfg-pc-builder-us-20
Thermalright Burst Assassin 120 SE 66.17 CFM CPU Cooler,,$20.90,1550 RPM,25.6 dB,Black / Silver,https://www.amazon.com/dp/B0D93TNVHC?tag=bgfg-pc-builder-us-20
SilentiumPC Navis Pro 120 Liquid CPU Cooler,,,800 - 2300 RPM,N/A,Black,https://www.amazon.com/s?k=SilentiumPC+Navis+Pro+120+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
ID-COOLING SE-213X-R 61.5 CFM CPU Cooler,,,500 - 1800 RPM,28 dB,Black / Red,https://www.amazon.com/s?k=ID-COOLING+SE-213X-R+61.5+CFM+CPU+Cooler&tag=bgfg-pc-builder-us-20
Ocypus Delta L24 ARGB 73 CFM Liquid CPU Cooler,,,500 - 2000 RPM,29 dB,White,https://www.amazon.com/s?k=Ocypus+Delta+L24+ARGB+73+CFM+Liquid+CPU+Cooler&tag=bgfg-pc-builder-us-20
