name,rating,price,chipset,memory,core clock,boost clock,color,length,link
MSI Radeon VII 16G Radeon VII 16 GB Graphics Card,4.8,,Radeon VII,16 GB,1400 MHz,1750 MHz,Silver,267 mm,https://www.amazon.com/s?k=MSI+Radeon+VII+16G+Radeon+VII+16+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Asus DUAL OC GeForce GTX 1660 Ti 6 GB Graphics Card,4.0,,GeForce GTX 1660 Ti,6 GB,1500 MHz,1830 MHz,Black / White,215 mm,https://www.amazon.com/s?k=Asus+DUAL+OC+GeForce+GTX+1660+Ti+6+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Gigabyte AORUS GeForce RTX 2060 SUPER 8 GB Graphics Card,4.7,,GeForce RTX 2060 SUPER,8 GB,1470 MHz,1845 MHz,Black,290 mm,https://www.amazon.com/s?k=Gigabyte+AORUS+GeForce+RTX+2060+SUPER+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Gigabyte GAMING OC Radeon RX 5700 8 GB Graphics Card,4.5,,Radeon RX 5700,8 GB,1565 MHz,1750 MHz,Black / Gray,280 mm,https://www.amazon.com/s?k=Gigabyte+GAMING+OC+Radeon+RX+5700+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
Asus DUAL MINI OC V2 GeForce RTX 3060 Ti LHR 8 GB Graphics Card,5.0,,GeForce RTX 3060 Ti LHR,8 GB,1410 MHz,1710 MHz,Black,200 mm,https://www.amazon.com/s?k=Asus+DUAL+MINI+OC+V2+GeForce+RTX+3060+Ti+LHR+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
MSI GAMING GeForce RTX 4060 8 GB Video Card,,$321.46,GeForce RTX 4060,8 GB,1830 MHz,2475 MHz,Black,247 mm,https://www.amazon.com/dp/B0CBD16TQW?tag=bgfg-pc-builder-us-20
PNY XLR8 Gaming UPRISING EPIC-X RGB GeForce RTX 3080 10GB 10 GB Graphics Card,,,GeForce RTX 3080 10GB,10 GB,1440 MHz,1710 MHz,Black,317 mm,https://www.amazon.com/s?k=PNY+XLR8+Gaming+UPRISING+EPIC-X+RGB+GeForce+RTX+3080+10GB+10+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
MSI GAMING TRIO GeForce RTX 4070 Ti 12 GB Video Card,,$909.99,GeForce RTX 4070 Ti,12 GB,2310 MHz,2625 MHz,White,337 mm,https://www.amazon.com/s?k=MSI+GAMING+TRIO+GeForce+RTX+4070+Ti+12+GB+Video+Card&tag=bgfg-pc-builder-us-20
MSI DUKE GeForce RTX 2080 8 GB Graphics Card,4.7,,GeForce RTX 2080,8 GB,1515 MHz,1845 MHz,Black,314 mm,https://www.amazon.com/s?k=MSI+DUKE+GeForce+RTX+2080+8+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
PNY VCGGTX10606PB GeForce GTX 1060 6GB 6 GB Graphics Card,4.7,,GeForce GTX 1060 6GB,6 GB,1506 MHz,1708 MHz,Black,265 mm,https://www.amazon.com/s?k=PNY+VCGGTX10606PB+GeForce+GTX+1060+6GB+6+GB+Graphics+Card&tag=bgfg-pc-builder-us-20
